"","g1.01.hisat2.bam","g1.02.hisat2.bam","g1.03.hisat2.bam","g3.01.hisat2.bam","g3.02.hisat2.bam","g3.03.hisat2.bam"
"FBgn0040037",11,31,28,24,0,27
"FBgn0052011",180,172,125,194,135,144
"FBgn0052010",45,66,55,66,49,59
"FBgn0052009",107,122,109,143,113,127
"FBgn0025740",519,537,453,541,454,519
"FBgn0004859",682,671,571,632,543,876
"FBgn0017545",3792,3617,3835,3761,4658,4279
"FBgn0085432",229,199,206,222,159,231
"FBgn0011747",815,824,840,930,838,915
"FBgn0052000",733,666,604,756,618,648
"FBgn0052006",12,25,24,20,14,20
"FBgn0051997",470,506,456,277,525,423
"FBgn0053978",1088,1044,1023,1146,1176,959
"FBgn0039889",137,118,140,125,135,127
"FBgn0039890",344,340,390,386,367,382
"FBgn0051998",447,373,353,414,350,368
"FBgn0024811",252,230,259,239,255,237
"FBgn0051999",216,246,217,220,195,206
"FBgn0039896",148,133,150,62,76,104
"FBgn0039897",279,485,432,319,295,218
"FBgn0053481",59,62,42,46,56,67
"FBgn0259216",39,30,29,28,30,28
"FBgn0042696",142,245,205,167,115,107
"FBgn0039900",102,74,85,68,54,63
"FBgn0026777",325,303,300,348,363,300
"FBgn0039902",255,262,281,245,286,241
"FBgn0052850",193,175,211,160,161,183
"FBgn0259214",1308,1579,1421,1401,1349,1234
"FBgn0039904",430,453,440,483,415,510
"FBgn0039905",100,115,76,106,84,112
"FBgn0039907",347,386,374,395,332,418
"FBgn0016126",515,436,459,564,650,572
"FBgn0026262",548,495,537,608,512,538
"FBgn0041005",43,39,45,40,36,40
"FBgn0039908",270,296,265,283,215,231
"FBgn0004607",494,385,416,374,325,541
"FBgn0026869",625,588,603,656,590,600
"FBgn0022361",156,147,148,151,149,172
"FBgn0039909",388,552,462,345,331,282
"FBgn0040324",266,265,274,307,263,295
"FBgn0039911",44,50,42,40,33,41
"FBgn0028996",133,133,131,144,99,164
"FBgn0025936",452,469,430,501,415,460
"FBgn0039914",211,225,190,202,182,202
"FBgn0039915",73,130,113,26,38,34
"FBgn0039916",32,36,32,34,26,28
"FBgn0051992",1088,1214,1120,1203,1029,1174
"FBgn0024728",258,267,234,311,220,262
"FBgn0039920",176,207,175,217,150,222
"FBgn0026199",241,214,240,262,261,279
"FBgn0005558",35,35,28,27,33,36
"FBgn0005666",988,1761,1482,674,713,450
"FBgn0039923",409,448,402,419,402,414
"FBgn0039939",0,0,0,0,1,0
"FBgn0039938",173,191,152,176,122,139
"FBgn0039937",8,3,5,3,1,3
"FBgn0053797",0,0,1,0,0,0
"FBgn0039936",632,647,628,648,664,677
"FBgn0025726",971,1010,963,1022,937,1018
"FBgn0052021",46,26,29,52,32,39
"FBgn0023213",1166,1129,1128,1208,1293,1120
"FBgn0019985",49,48,37,57,30,32
"FBgn0052016",346,353,372,389,339,375
"FBgn0039932",16,9,13,9,15,12
"FBgn0083990",2,5,5,0,3,2
"FBgn0019650",59,54,52,64,61,60
"FBgn0025741",794,839,762,812,734,848
"FBgn0039930",25,22,27,19,20,25
"FBgn0039929",128,160,143,150,137,136
"FBgn0010217",2822,4157,3533,2247,2434,1983
"FBgn0004624",628,599,623,643,572,558
"FBgn0011642",380,339,343,376,356,374
"FBgn0087002",11604,8395,10509,10949,13639,13169
"FBgn0024913",76,79,54,51,63,77
"FBgn0005561",50,58,52,61,30,35
"FBgn0039928",908,904,904,974,938,928
"FBgn0013749",151,178,169,193,215,179
"FBgn0039927",161,169,168,184,170,168
"FBgn0052017",89,78,76,88,69,82
"FBgn0039925",9,3,10,5,9,0
"FBgn0002521",227,224,232,235,208,269
"FBgn0250819",272,391,412,184,231,147
"FBgn0039924",226,209,228,251,251,264
"FBgn0067895",203,200,242,239,219,214
"FBgn0069921",1,0,1,0,1,0
"FBgn0027101",341,348,331,391,386,368
"FBgn0053653",242,300,261,303,234,287
